agent_name,games,wins,draws,losses,invalid_moves,optimal_actions,total_actions,win_rate,draw_rate,loss_rate,invalid_rate,optimality_rate,opponent
random,10,0,0,10,0,15,25,0.0,0.0,1.0,0.0,0.6,alphabeta
alphabeta,10,10,0,0,0,30,30,1.0,0.0,0.0,0.0,1.0,random
random,10,0,0,10,0,15,25,0.0,0.0,1.0,0.0,0.6,gemma4-ollama
gemma4-ollama,10,10,0,0,0,27,30,1.0,0.0,0.0,0.0,0.9,random
random,10,0,0,10,0,17,27,0.0,0.0,1.0,0.0,0.6296296296296297,gpt-oss
gpt-oss,10,10,0,0,0,28,32,1.0,0.0,0.0,0.0,0.875,random
random,10,10,0,0,0,11,18,1.0,0.0,0.0,0.0,0.6111111111111112,qwen3-0.6b
qwen3-0.6b,10,0,0,10,10,7,23,0.0,0.0,1.0,1.0,0.30434782608695654,random
alphabeta,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,gemma4-ollama
gemma4-ollama,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,alphabeta
alphabeta,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,gpt-oss
gpt-oss,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,alphabeta
alphabeta,10,10,0,0,0,20,20,1.0,0.0,0.0,0.0,1.0,qwen3-0.6b
qwen3-0.6b,10,0,0,10,9,13,24,0.0,0.0,1.0,0.9,0.5416666666666666,alphabeta
gemma4-ollama,10,10,0,0,0,19,19,1.0,0.0,0.0,0.0,1.0,qwen3-0.6b
qwen3-0.6b,10,0,0,10,8,9,22,0.0,0.0,1.0,0.8,0.4090909090909091,gemma4-ollama
gpt-oss,10,10,0,0,0,22,23,1.0,0.0,0.0,0.0,0.9565217391304348,qwen3-0.6b
qwen3-0.6b,10,0,0,10,10,16,28,0.0,0.0,1.0,1.0,0.5714285714285714,gpt-oss
gemma4-ollama,10,2,7,1,0,41,42,0.2,0.7,0.1,0.0,0.9761904761904762,gpt-oss
gpt-oss,10,1,7,2,0,40,42,0.1,0.7,0.2,0.0,0.9523809523809523,gemma4-ollama
