agent_name,games,wins,draws,losses,invalid_moves,optimal_actions,total_actions,win_rate,draw_rate,loss_rate,invalid_rate,optimality_rate,opponent
random,10,0,2,8,0,22,32,0.0,0.2,0.8,0.0,0.6875,alphabeta
alphabeta,10,8,2,0,0,35,35,0.8,0.2,0.0,0.0,1.0,random
random,10,0,0,10,0,16,28,0.0,0.0,1.0,0.0,0.5714285714285714,gemma4-ollama
gemma4-ollama,10,10,0,0,0,33,33,1.0,0.0,0.0,0.0,1.0,random
random,10,0,1,9,0,20,32,0.0,0.1,0.9,0.0,0.625,gpt-oss
gpt-oss,10,9,1,0,0,33,36,0.9,0.1,0.0,0.0,0.9166666666666666,random
random,10,10,0,0,0,8,17,1.0,0.0,0.0,0.0,0.47058823529411764,qwen3-fallback
qwen3-fallback,10,0,0,10,10,7,22,0.0,0.0,1.0,1.0,0.3181818181818182,random
alphabeta,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,gemma4-ollama
gemma4-ollama,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,alphabeta
alphabeta,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,gpt-oss
gpt-oss,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,alphabeta
alphabeta,10,10,0,0,0,16,16,1.0,0.0,0.0,0.0,1.0,qwen3-fallback
qwen3-fallback,10,0,0,10,10,11,21,0.0,0.0,1.0,1.0,0.5238095238095238,alphabeta
gemma4-ollama,10,3,7,0,0,42,42,0.3,0.7,0.0,0.0,1.0,gpt-oss
gpt-oss,10,0,7,3,0,39,42,0.0,0.7,0.3,0.0,0.9285714285714286,gemma4-ollama
gemma4-ollama,10,10,0,0,0,16,16,1.0,0.0,0.0,0.0,1.0,qwen3-fallback
qwen3-fallback,10,0,0,10,10,11,21,0.0,0.0,1.0,1.0,0.5238095238095238,gemma4-ollama
gpt-oss,10,10,0,0,0,17,17,1.0,0.0,0.0,0.0,1.0,qwen3-fallback
qwen3-fallback,10,0,0,10,10,12,22,0.0,0.0,1.0,1.0,0.5454545454545454,gpt-oss
