agent_name,games,wins,draws,losses,invalid_moves,optimal_actions,total_actions,win_rate,draw_rate,loss_rate,invalid_rate,optimality_rate,opponent
random,10,0,0,10,0,15,25,0.0,0.0,1.0,0.0,0.6,alphabeta
alphabeta,10,10,0,0,0,30,30,1.0,0.0,0.0,0.0,1.0,random
random,10,0,0,10,0,16,26,0.0,0.0,1.0,0.0,0.6153846153846154,gemma4-ollama
gemma4-ollama,10,10,0,0,0,27,31,1.0,0.0,0.0,0.0,0.8709677419354839,random
random,10,0,0,10,0,17,27,0.0,0.0,1.0,0.0,0.6296296296296297,gpt-oss
gpt-oss,10,10,0,0,0,27,32,1.0,0.0,0.0,0.0,0.84375,random
random,10,10,0,0,0,10,19,1.0,0.0,0.0,0.0,0.5263157894736842,qwen3-0.6b
qwen3-0.6b,10,0,0,10,10,7,24,0.0,0.0,1.0,1.0,0.2916666666666667,random
alphabeta,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,gemma4-ollama
gemma4-ollama,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,alphabeta
alphabeta,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,gpt-oss
gpt-oss,10,0,10,0,0,45,45,0.0,1.0,0.0,0.0,1.0,alphabeta
alphabeta,10,10,0,0,0,21,21,1.0,0.0,0.0,0.0,1.0,qwen3-0.6b
qwen3-0.6b,10,0,0,10,7,12,23,0.0,0.0,1.0,0.7,0.5217391304347826,alphabeta
gemma4-ollama,10,0,10,0,0,44,45,0.0,1.0,0.0,0.0,0.9777777777777777,gpt-oss
gpt-oss,10,0,10,0,0,44,45,0.0,1.0,0.0,0.0,0.9777777777777777,gemma4-ollama
gemma4-ollama,10,10,0,0,0,20,21,1.0,0.0,0.0,0.0,0.9523809523809523,qwen3-0.6b
qwen3-0.6b,10,0,0,10,8,13,24,0.0,0.0,1.0,0.8,0.5416666666666666,gemma4-ollama
gpt-oss,10,10,0,0,0,20,20,1.0,0.0,0.0,0.0,1.0,qwen3-0.6b
qwen3-0.6b,10,0,0,10,7,8,22,0.0,0.0,1.0,0.7,0.36363636363636365,gpt-oss
